ARA homolog	Log FC
AT1G60950	-1.26
AT1G60950	-1.36
AT1G60950	-3.48
AT1G61000	-1.30
AT1G61120	2.39
AT1G61140	1.07
AT1G61180	1.29
AT1G61260	-1.30
AT1G61260	-1.33
AT1G61290	3.26
AT1G61340	1.28
AT1G61520	-1.31
AT1G61520	-1.74
AT1G61520	-1.79
AT1G61620	1.55
AT1G61680	-2.52
AT1G61680	-2.63
AT1G61750	2.66
AT1G61800	2.27
AT1G62250	-1.12
AT1G62280	2.33
AT1G62290	-1.62
AT1G62300	3.65
AT1G62380	3.36
AT1G62380	3.30
AT1G62400	-1.48
AT1G62500	-2.19
AT1G62515	2.06
AT1G62770	-1.01
AT1G62770	-1.51
AT1G63100	-3.12
AT1G63120	1.54
AT1G63120	1.42
AT1G63220	1.57
AT1G63260	1.11
AT1G63300	-1.12
AT1G63430	-1.10
AT1G63660	1.24
AT1G63780	1.21
AT1G63780	1.20
AT1G64080	1.25
AT1G64390	-3.31
AT1G64510	-1.10
AT1G64510	-1.23
AT1G64650	-1.11
AT1G64670	-2.30
AT1G64690	-1.63
AT1G64760	-1.30
AT1G64760	-1.34
AT1G64770	-1.22
AT1G64780	3.45
AT1G64940	1.08
AT1G64970	-1.02
AT1G64970	-1.55
AT1G64980	-1.06
AT1G65030	1.91
AT1G65030	1.42
AT1G65430	2.07
AT1G65450	-1.50
AT1G65480	-2.67
AT1G65590	-1.77
AT1G65730	1.83
AT1G65820	1.92
AT1G65840	2.62
AT1G65840	2.16
AT1G65900	-2.93
AT1G66120	3.28
AT1G66160	2.21
AT1G66250	-1.31
AT1G66250	-1.42
AT1G67035	-2.60
AT1G67070	-1.35
AT1G67090	-1.06
AT1G67090	-2.41
AT1G67120	1.31
AT1G67280	-1.06
AT1G67330	-1.33
AT1G67480	-1.23
AT1G67520	2.28
AT1G67530	1.72
AT1G67530	-1.07
AT1G67600	1.15
AT1G67700	-1.18
AT1G67730	-1.40
AT1G67740	-1.00
AT1G67750	-2.83
AT1G67750	-3.11
AT1G67810	1.07
AT1G67820	-1.24
AT1G67850	-1.27
AT1G68200	-1.40
AT1G68260	-4.39
AT1G68400	-2.10
AT1G68520	-1.90
AT1G68530	-1.68
AT1G68550	2.33
AT1G68550	2.27
AT1G68560	-1.80
AT1G68590	-1.09
AT1G68710	1.27
AT1G68740	-1.33
AT1G68780	-1.54
AT1G68990	1.72
AT1G68990	1.56
AT1G69260	-1.13
AT1G69420	-1.02
AT1G69490	1.92
AT1G69490	1.60
AT1G69530	-1.35
AT1G69530	-1.47
AT1G69530	-1.72
AT1G69530	-1.81
AT1G69530	-1.97
AT1G69530	-2.45
AT1G69530	-3.44
AT1G69610	1.03
AT1G69730	2.84
AT1G69730	1.62
AT1G69760	-1.03
AT1G69770	-1.39
AT1G69850	-3.09
AT1G70210	-1.44
AT1G70210	-2.22
AT1G70230	-1.31
AT1G70250	1.73
AT1G70250	1.73
AT1G70280	-1.12
AT1G70370	-1.57
AT1G70370	-1.58
AT1G70370	-1.74
AT1G70370	-2.20
AT1G70580	1.05
AT1G70710	-1.64
AT1G70710	-2.00
AT1G70710	-2.17
AT1G70720	-2.97
AT1G70780	1.36
AT1G70840	-1.24
AT1G70890	-1.48
AT1G70940	-1.35
AT1G71040	1.78
AT1G71090	-1.50
AT1G71140	6.12
AT1G71140	5.33
AT1G71360	1.29
AT1G71691	-1.52
AT1G71692	2.30
AT1G71810	-1.05
AT1G71840	1.25
AT1G71850	1.69
AT1G71900	1.02
AT1G72040	1.09
AT1G72210	-1.19
AT1G72210	-2.02
AT1G72230	2.46
AT1G72250	-1.94
AT1G72320	1.16
AT1G72330	1.76
AT1G72330	1.36
AT1G72360	7.00
AT1G72370	1.21
AT1G72510	1.37
AT1G72640	-1.27
AT1G72640	-1.55
AT1G72880	-1.05
AT1G72970	-1.70
AT1G73600	-1.93
AT1G73805	3.86
AT1G73880	1.51
AT1G73890	-1.95
AT1G74070	-1.24
AT1G74110	-1.14
AT1G74160	-1.28
AT1G74310	1.03
AT1G74320	1.02
AT1G74410	-1.16
AT1G74470	-1.96
AT1G74520	-1.24
AT1G74670	-3.48
AT1G74780	1.06
AT1G74840	-1.04
AT1G74910	-1.07
AT1G74920	-1.27
AT1G74950	-1.92
AT1G74970	-1.08
AT1G75030	-1.00
AT1G75250	-1.80
AT1G75270	-2.37
AT1G75280	-1.77
AT1G75290	1.32
AT1G75350	-1.22
AT1G75500	-1.22
AT1G75680	-1.82
AT1G75780	-1.96
AT1G75780	-2.28
AT1G75950	1.01
AT1G76020	-1.92
AT1G76080	-1.11
AT1G76100	-1.65
AT1G76110	-1.41
AT1G76150	1.47
AT1G76160	-1.98
AT1G76160	-2.20
AT1G76160	-2.51
AT1G76360	2.04
AT1G76390	1.17
AT1G76390	1.06
AT1G76490	-1.16
AT1G76500	2.32
AT1G76690	2.22
AT1G76690	2.22
AT1G76740	-2.61
AT1G77260	-1.23
AT1G77510	-2.15
AT1G78060	-1.60
AT1G78310	1.09
AT1G78410	4.75
AT1G78430	-1.34
AT1G78430	-1.59
AT1G78560	-1.05
AT1G78560	-1.08
AT1G78710	-2.03
AT1G78780	5.72
AT1G78860	1.72
AT1G78860	1.50
AT1G78990	-1.34
AT1G78995	-1.10
AT1G78995	-1.57
AT1G79040	-1.12
AT1G79040	-1.13
AT1G79360	-1.20
AT1G79620	1.31
AT1G79670	1.75
AT1G79670	1.16
AT1G79850	-1.10
AT1G79850	-1.25
AT1G80480	1.41
AT1G80530	-1.45
AT1G80740	-1.59
AT1G80750	1.13
AT1G80840	5.17
AT1G80840	2.95
AT1G80840	1.81
AT2G01170	1.94
AT2G01210	-1.05
AT2G01250	1.02
AT2G01275	1.15
AT2G01950	1.65
AT2G02010	-1.71
AT2G02160	1.07
AT2G02390	6.28
AT2G02390	1.72
AT2G02500	-1.75
AT2G02540	-1.31
AT2G02850	-1.89
AT2G02870	1.22
AT2G02870	1.02
AT2G02930	5.65
AT2G02930	2.33
AT2G02990	3.08
AT2G02990	-1.09
AT2G02990	-1.73
AT2G02990	-3.20
AT2G03440	-1.58
AT2G03510	1.08
AT2G04400	1.42
AT2G04520	1.03
AT2G04780	-1.38
AT2G04780	-1.43
AT2G05320	1.11
AT2G05790	-2.29
AT2G05920	-1.06
AT2G05920	-1.44
AT2G05940	2.09
AT2G05940	1.38
AT2G06040	1.84
AT2G06050	1.49
AT2G06520	-1.14
AT2G06530	1.52
AT2G06530	1.01
AT2G07050	-1.25
AT2G07170	-2.93
AT2G07180	-1.33
AT2G07690	-1.11
AT2G11520	1.51
AT2G11520	1.18
AT2G13360	-1.07
AT2G13560	-1.03
AT2G13560	-1.05
AT2G13810	4.27
AT2G14520	-1.12
AT2G14960	1.34
AT2G15220	2.24
AT2G15220	1.75
AT2G15480	1.86
AT2G15490	3.92
AT2G15490	3.57
AT2G15620	1.24
AT2G15620	-1.20
AT2G15760	1.89
AT2G16370	-1.09
AT2G16500	1.02
AT2G16630	-2.10
AT2G16760	-2.13
AT2G16910	-1.21
AT2G17030	2.47
AT2G17030	-1.05
AT2G17040	1.40
AT2G17120	2.99
AT2G17120	-1.25
AT2G17220	1.41
AT2G17250	1.18
AT2G17420	1.02
AT2G17705	1.84
AT2G17760	1.32
AT2G17760	1.32
AT2G17760	1.16
AT2G18190	2.75
AT2G18196	-1.37
AT2G18280	-1.08
AT2G18350	-1.51
AT2G18360	-1.28
AT2G18650	-1.34
AT2G18750	1.13
AT2G18900	1.14
AT2G19070	-4.76
AT2G19170	-1.21
AT2G19170	-1.52
AT2G19385	1.20
AT2G19520	-1.05
AT2G19540	1.18
AT2G19580	-1.41
AT2G19740	1.09
AT2G19780	-1.29
AT2G19900	2.44
AT2G19900	2.43
AT2G20340	1.88
AT2G20390	1.80
AT2G20590	-2.46
AT2G20635	-1.75
AT2G20830	1.15
AT2G20830	-1.14
AT2G20880	1.11
AT2G20890	-1.28
AT2G20940	1.09
AT2G20980	-1.60
AT2G21050	-1.18
AT2G21100	1.60
AT2G21170	-1.10
AT2G21210	-1.52
AT2G21210	-1.82
AT2G21300	-1.52
AT2G21370	-1.15
AT2G21620	3.28
AT2G22070	-1.43
AT2G22125	-1.36
AT2G22170	-2.24
AT2G22570	1.42
AT2G22610	-2.36
AT2G22620	-1.07
AT2G22840	-1.35
AT2G22900	-2.04
AT2G23000	-1.86
AT2G23140	1.54
AT2G23450	1.31
AT2G23460	2.84
AT2G23530	-1.53
AT2G23570	1.18
AT2G23620	1.33
AT2G23630	1.91
AT2G23690	1.19
AT2G23770	2.61
AT2G23770	1.82
AT2G23810	1.49
AT2G23810	1.34
AT2G23910	1.90
AT2G24090	-1.13
AT2G24100	1.45
AT2G24100	1.05
AT2G24270	-1.01
AT2G24490	-1.09
AT2G24490	-1.21
AT2G24560	-1.31
AT2G24580	-1.26
AT2G24800	-1.20
AT2G25010	1.28
AT2G25270	-1.34
AT2G25290	1.99
AT2G25770	-1.51
AT2G25940	3.27
AT2G26150	-1.18
AT2G26180	-2.22
AT2G26180	-3.10
AT2G26270	-1.48
AT2G26330	-2.08
AT2G26340	-1.14
AT2G26440	-1.10
AT2G26690	-1.44
AT2G26690	-1.50
AT2G26695	-1.23
AT2G26710	-1.26
AT2G26710	-1.28
AT2G26770	-1.06
AT2G26850	1.11
AT2G26910	-1.45
AT2G26910	-1.78
AT2G26930	-1.14
AT2G27080	1.16
AT2G27090	2.53
AT2G27150	2.19
AT2G27150	1.04
AT2G27190	-1.31
AT2G27240	1.43
AT2G27480	2.21
AT2G27510	1.69
AT2G27510	1.69
AT2G27680	-1.09
AT2G27680	-1.20
AT2G27880	1.60
AT2G28085	-1.18
AT2G28100	-1.30
AT2G28605	-1.02
AT2G28630	-1.67
AT2G28680	-3.40
AT2G28760	-1.11
AT2G28790	-2.18
AT2G28790	-5.13
AT2G28940	-1.63
AT2G29090	-1.99
AT2G29120	1.05
AT2G29360	1.79
AT2G29530	2.38
AT2G29690	3.32
AT2G29990	2.59
AT2G29990	2.39
AT2G30080	1.55
AT2G30150	4.27
AT2G30170	-1.10
AT2G30360	1.87
AT2G30490	5.63
AT2G30490	5.51
AT2G30490	3.10
AT2G30490	1.07
AT2G30520	1.11
AT2G30540	-1.42
AT2G30570	-1.19
AT2G30695	-1.42
AT2G30770	3.45
AT2G30790	-1.43
AT2G30830	2.60
AT2G31060	1.18
AT2G31110	1.82
AT2G31180	2.76
AT2G31210	-1.23
AT2G31230	1.00
AT2G31240	1.21
AT2G31270	-1.45
AT2G31410	1.71
AT2G31790	1.80
AT2G31820	1.03
AT2G31865	1.06
